Time(s),Volts
5.32,-0.00425
5.33,-0.00425
5.33,-0.004375
5.34,-0.004375
5.34,-0.004125
5.34,-0.004125
5.35,-0.004125
5.35,-0.003875
5.36,-0.003875
5.36,-0.003625
5.36,-0.003625
5.37,-0.0032500000000000003
5.37,-0.003125
5.38,-0.003125
5.38,-0.003125
5.38,-0.003125
5.39,-0.003375
5.39,-0.003375
5.40,-0.003375
5.40,-0.0032500000000000003
5.40,-0.0032500000000000003
5.41,-0.003375
5.41,-0.003
5.42,-0.003
5.42,-0.001
5.42,-0.001
5.43,-0.000625
5.43,-0.000625
5.44,-0.000625
5.44,-0.000625
5.44,-0.000625
5.45,-0.0005
5.45,-0.0005
5.46,-0.000625
5.46,-0.0005
5.46,-0.0005
5.47,-0.0005
5.47,-0.000375
5.48,-0.000375
5.48,-0.0005
5.48,-0.000375
5.49,-0.000375
5.49,-0.0005
5.50,-0.000625
5.50,-0.000625
5.50,-0.0005
5.51,-0.0005
